GENESIS-Tabelle: 23311-0006
Schwangerschaftsabbrüche: Bundesländer, Jahre,;;;;;;;;;;;;;;;;;;
Familienstand/Herkunfts-Bundesland oder Ausland;;;;;;;;;;;;;;;;;;
Statistik der Schwangerschaftsabbrüche;;;;;;;;;;;;;;;;;;
Schwangerschaftsabbrüche (Anzahl);;;;;;;;;;;;;;;;;;
;;Herkunfts-Bundesland oder Ausland;Herkunfts-Bundesland oder Ausland;Herkunfts-Bundesland oder Ausland;Herkunfts-Bundesland oder Ausland;Herkunfts-Bundesland oder Ausland;Herkunfts-Bundesland oder Ausland;Herkunfts-Bundesland oder Ausland;Herkunfts-Bundesland oder Ausland;Herkunfts-Bundesland oder Ausland;Herkunfts-Bundesland oder Ausland;Herkunfts-Bundesland oder Ausland;Herkunfts-Bundesland oder Ausland;Herkunfts-Bundesland oder Ausland;Herkunfts-Bundesland oder Ausland;Herkunfts-Bundesland oder Ausland;Herkunfts-Bundesland oder Ausland;Herkunfts-Bundesland oder Ausland
;;Baden-Württemberg;Bayern;Berlin;Brandenburg;Bremen;Hamburg;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Nordrhein-Westfalen;Rheinland-Pfalz;Saarland;Sachsen;Sachsen-Anhalt;Schleswig-Holstein;Thüringen;Ausland
2021;Baden-Württemberg;8612;234;2;-;-;1;22;-;1;4;85;2;1;-;-;1;9
2021;Bayern;334;10953;7;-;1;1;24;-;-;-;1;-;1;-;1;2;19
2021;Berlin;11;46;8147;311;-;2;5;4;13;5;-;-;11;11;2;2;200
2021;Brandenburg;1;2;24;2728;1;-;-;9;-;-;-;-;24;32;-;3;267
2021;Bremen;-;1;2;3;1301;5;3;2;886;12;1;1;-;-;1;-;2
2021;Hamburg;1;1;4;-;15;3288;2;24;317;4;2;-;-;1;293;-;2
2021;Hessen;48;155;3;-;1;10;7451;2;64;84;313;2;2;-;2;7;6
2021;Mecklenburg-Vorpommern;-;-;2;25;-;2;2;2002;6;1;-;-;1;-;-;1;4
2021;Niedersachsen;2;1;1;-;61;4;18;12;6750;268;-;-;2;16;1;53;1
2021;Nordrhein-Westfalen;251;21;3;1;1;2;16;6;231;19495;181;2;1;-;3;2;9
2021;Rheinland-Pfalz;567;10;1;-;-;-;125;-;2;9;1914;4;1;-;1;1;-
2021;Saarland;2;3;1;1;-;-;1;-;-;3;624;1325;1;-;-;-;13
2021;Sachsen;3;35;4;65;-;-;1;-;1;-;-;3;4958;60;1;56;21
2021;Sachsen-Anhalt;1;2;-;3;-;-;-;-;10;1;-;-;13;2934;2;41;15
2021;Schleswig-Holstein;-;-;1;-;1;34;-;11;10;1;-;-;1;4;2883;-;1
2021;Thüringen;-;115;3;1;-;-;18;-;2;-;-;-;33;17;1;2655;1
__________
© Statistisches Bundesamt (Destatis), 2022
Stand: 19.10.2022 / 13:40:52
