,Foreign_Population,Foreign_Population,Foreign_Population,Foreign_Population,Foreign_Population,Foreign_Population,Foreign_Population,Foreign_Population,Foreign_Population,Foreign_Population,Foreign_Population,Foreign_Population,Foreign_Population,Foreign_Population,Foreign_Population,Foreign_Population,Foreign_Population,Foreign_Population,Foreign_Population,Foreign_Population,Foreign_Population,Foreign_Population,Foreign_Population,Foreign_Population,Foreign_Population,Foreign_Population,Foreign_Population,Foreign_Population,Foreign_Population,Foreign_Population,Foreign_Population,Country,Country,Country,Country,Country,Country,Country,Country,Country,Country,Country,Country,Country,Country,Country,Country,Country,Country,Country,Country,Country,Country,Country,Country,Country,Country,Country,Country,Country,Country,Country,Country_Score,Country_Score,Country_Score,Country_Score,Country_Score,Country_Score,Country_Score,Country_Score,Country_Score,Country_Score,Country_Score,Country_Score,Country_Score,Country_Score,Country_Score,Country_Score,Country_Score,Country_Score,Country_Score,Country_Score,Country_Score,Country_Score,Country_Score,Country_Score,Country_Score,Country_Score,Country_Score,Country_Score,Country_Score,Country_Score,Country_Score
number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
State of residence (in Germany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baden-Württemberg,7.744169096209912e-06,3.0521137026239064e-05,8.381924198250729e-05,9.293002915451895e-05,0.00011342930029154518,0.00013392857142857144,0.0001530612244897959,0.00019542638483965015,0.00022959183673469387,0.00023278061224489796,0.0003990524781341108,0.000616344752186589,0.0006823979591836735,0.0006946975218658892,0.0007079081632653062,0.0007211188046647231,0.0008837463556851312,0.0012308673469387755,0.0023669825072886296,0.0024057033527696793,0.002624362244897959,0.002691326530612245,0.003979591836734694,0.004206905976676385,0.004580448250728863,0.004755830903790088,0.007328717201166181,0.0076412172011661806,0.011489613702623906,0.01564139941690962,0.016572977405247814,MLT,CYP,NOR,EST,DNK,LUX,FIN,IRL,BEL,SWE,LVA,CZE,SVN,GBR,LTU,NLD,SVK,CHE,ESP,AUT,PRT,FRA,SRB,BIH,BGR,HUN,GRC,POL,HRV,ROU,ITA,0.0,59.0,81.0,65.0,83.0,76.0,82.0,63.5,78.0,94.0,56.0,64.0,66.0,89.0,62.0,85.0,53.0,76.0,71.0,61.0,67.0,84.0,60.0,48.0,66.0,43.0,68.0,16.0,60.0,59.0,67.0
Bavaria,1.3157894736842106e-05,2.7089783281733746e-05,8.552631578947368e-05,9.24922600619195e-05,9.481424148606811e-05,0.0001648606811145511,0.00019659442724458205,0.000228328173374613,0.00026664086687306504,0.00029256965944272445,0.0004005417956656347,0.000451625386996904,0.0005491486068111456,0.0006892414860681115,0.0007627708978328174,0.0010046439628482971,0.0010348297213622292,0.0017879256965944272,0.0018289473684210526,0.0019570433436532507,0.0020429566563467494,0.0026160990712074303,0.004895123839009288,0.005031733746130031,0.005938854489164086,0.005972910216718266,0.006607198142414861,0.008323529411764705,0.009119582043343653,0.010151315789473684,0.015586687306501548,MLT,CYP,NOR,LUX,EST,DNK,FIN,BEL,IRL,SWE,LVA,LTU,CHE,SVN,NLD,PRT,GBR,FRA,SVK,ESP,CZE,SRB,BGR,BIH,HUN,GRC,AUT,ITA,POL,HRV,ROU,0.0,59.0,81.0,76.0,65.0,83.0,82.0,78.0,63.5,94.0,56.0,62.0,76.0,66.0,85.0,67.0,89.0,84.0,53.0,71.0,64.0,60.0,66.0,48.0,43.0,68.0,61.0,67.0,16.0,60.0,59.0
Berlin,3.728251864125932e-05,0.00013532173432753383,0.00014636840651753658,0.0002692626346313173,0.00028169014084507044,0.00048053024026512015,0.0004943385805026236,0.0006876553438276719,0.0007014636840651753,0.0007967412317039492,0.0009458713062689864,0.0009596796465064899,0.001043910521955261,0.0011212372272852804,0.0011737089201877935,0.0012855564761115714,0.001927644297155482,0.0020753935376967686,0.0021775752554542946,0.0035100800883733777,0.0038732394366197184,0.003924330295498481,0.004154929577464789,0.004555371444352389,0.004729356531344932,0.0053949185307925985,0.006241369787351561,0.007499309582988125,0.008863573598453465,0.009571941452637393,0.018463131731565864,MLT,CYP,NOR,EST,LUX,SVK,SVN,FIN,BEL,CZE,CHE,DNK,LTU,LVA,IRL,SWE,PRT,HUN,NLD,BIH,AUT,SRB,HRV,GRC,ESP,GBR,FRA,ROU,BGR,ITA,POL,0.0,59.0,81.0,65.0,76.0,53.0,66.0,82.0,78.0,64.0,76.0,83.0,62.0,56.0,63.5,94.0,67.0,43.0,85.0,48.0,61.0,60.0,60.0,68.0,71.0,89.0,84.0,59.0,66.0,67.0,16.0
Brandenburg,4.042037186742118e-06,8.084074373484236e-06,2.4252223120452707e-05,3.4357316087308e-05,5.254648342764754e-05,5.658852061438965e-05,5.860953920776071e-05,7.275666936135812e-05,8.286176232821342e-05,8.690379951495553e-05,8.690379951495553e-05,0.0001980598221503638,0.0002263540824575586,0.00025464834276475343,0.00027890056588520616,0.00031729991915925625,0.0003496362166531932,0.0004062247372675829,0.00042239288601455134,0.00043451899757477767,0.0004628132578819725,0.0004688763136620857,0.00047696038803556994,0.0005679062247372676,0.0006447049312853678,0.0006750202101859337,0.0007922392886014552,0.0008367016976556184,0.0014935327405012125,0.0032700080840743734,0.010311236863379144,MLT,CYP,LUX,NOR,EST,FIN,SVN,DNK,SWE,BEL,IRL,PRT,CHE,LVA,LTU,CZE,SVK,FRA,GBR,HRV,NLD,BIH,ESP,AUT,SRB,GRC,HUN,ITA,BGR,ROU,POL,0.0,59.0,76.0,81.0,65.0,82.0,66.0,83.0,94.0,78.0,63.5,67.0,76.0,56.0,62.0,64.0,53.0,84.0,89.0,60.0,85.0,48.0,71.0,61.0,60.0,68.0,43.0,67.0,66.0,59.0,16.0
Bremen,1.483679525222552e-05,4.451038575667656e-05,6.676557863501484e-05,9.643916913946588e-05,0.00015578635014836794,0.00017062314540059348,0.00022997032640949554,0.00024480712166172105,0.00026706231454005935,0.0002967359050445104,0.00031899109792284867,0.00031899109792284867,0.00039317507418397624,0.00043026706231454005,0.0009643916913946587,0.0010830860534124629,0.001112759643916914,0.00120919881305638,0.001357566765578635,0.0015207715133531156,0.0015356083086053413,0.0021735905044510387,0.0023590504451038575,0.003078635014836795,0.003086053412462908,0.003664688427299703,0.0037611275964391693,0.005207715133531157,0.00629080118694362,0.013835311572700296,0.01403560830860534,MLT,CYP,LUX,EST,NOR,IRL,SVK,SVN,FIN,BEL,DNK,CZE,CHE,SWE,LVA,GBR,LTU,AUT,HUN,NLD,FRA,BIH,HRV,GRC,ESP,ITA,PRT,SRB,ROU,BGR,POL,0.0,59.0,76.0,65.0,81.0,63.5,53.0,66.0,82.0,78.0,83.0,64.0,76.0,94.0,56.0,89.0,62.0,61.0,43.0,85.0,84.0,48.0,60.0,68.0,71.0,67.0,67.0,60.0,59.0,66.0,16.0
Hamburg,1.0940919037199125e-05,3.282275711159737e-05,9.846827133479212e-05,0.00014770240700218818,0.00018326039387308533,0.0002543763676148796,0.0002899343544857768,0.00029540481400437636,0.0003118161925601751,0.00035284463894967176,0.0004349015317286652,0.0004978118161925602,0.0006044857768052516,0.0006810722100656456,0.0006920131291028446,0.000738512035010941,0.000836980306345733,0.0013812910284463895,0.001911925601750547,0.0021198030634573305,0.002259299781181619,0.0024425601750547045,0.003301422319474836,0.003339715536105033,0.003662472647702407,0.004053610503282276,0.004143873085339168,0.0048331509846827134,0.004961706783369803,0.0054731947483588625,0.01275164113785558,MLT,CYP,LUX,SVN,EST,IRL,NOR,SVK,BEL,CZE,FIN,LVA,SWE,HUN,LTU,CHE,DNK,NLD,GBR,AUT,BIH,FRA,ESP,GRC,HRV,SRB,ITA,BGR,PRT,ROU,POL,0.0,59.0,76.0,66.0,65.0,63.5,81.0,53.0,78.0,64.0,82.0,56.0,94.0,43.0,62.0,76.0,83.0,85.0,89.0,61.0,48.0,84.0,71.0,68.0,60.0,60.0,67.0,66.0,67.0,59.0,16.0
Hesse,1.3707466537655216e-05,3.6284470246734395e-05,8.466376390904693e-05,0.0001032091598129334,0.0001088534107402032,0.0001781970649895178,0.0002564102564102564,0.00032414126753749396,0.0003596194162231898,0.00036042573778422834,0.0004249314626673117,0.0004918561522335107,0.0005168521206257055,0.0006547331075632963,0.0006740848250282212,0.0012320593452668925,0.0012885018545395904,0.00129979035639413,0.002141590066118368,0.0021423963876794063,0.0021633607482664085,0.0024633123689727465,0.003925173359135624,0.004537171423963877,0.004993549427511692,0.00589017900338655,0.008478471214320271,0.00920416061925496,0.012004515400741815,0.012623770359619417,0.013013223673601032,MLT,CYP,EST,LUX,NOR,DNK,FIN,SWE,IRL,SVN,BEL,CHE,LVA,SVK,CZE,GBR,LTU,NLD,AUT,FRA,HUN,PRT,BIH,ESP,SRB,GRC,BGR,HRV,ITA,ROU,POL,0.0,59.0,65.0,76.0,81.0,83.0,82.0,94.0,63.5,66.0,78.0,76.0,56.0,53.0,64.0,89.0,62.0,85.0,61.0,84.0,43.0,67.0,48.0,71.0,60.0,68.0,66.0,60.0,67.0,59.0,16.0
Lower Saxony,5.091001654575538e-06,1.4636629756904672e-05,3.3091510754741e-05,6.6183021509482e-05,7.127402316405753e-05,0.000110092910780196,0.00011518391243477154,0.0001310932926053201,0.00017691230749649993,0.00018518518518518518,0.00022654957362861142,0.0002831869670357643,0.00030991472572228587,0.00036273386788850706,0.0006204658266513937,0.0007407407407407407,0.0007636502481863307,0.0008648339060710195,0.0009952908234695176,0.0010945653557337407,0.0011174748631793306,0.0011976581392388953,0.0015393916253022783,0.0015807560137457044,0.0024080437826142294,0.002542318951253659,0.003707521954944635,0.0037857961053837344,0.004319714903907344,0.00910525645920835,0.01275550464553901,MLT,CYP,LUX,EST,NOR,IRL,SVN,FIN,BEL,DNK,SWE,CZE,CHE,SVK,FRA,GBR,LVA,AUT,LTU,BIH,PRT,HUN,HRV,ESP,GRC,SRB,ITA,NLD,BGR,ROU,POL,0.0,59.0,76.0,65.0,81.0,63.5,66.0,82.0,78.0,83.0,94.0,64.0,76.0,53.0,84.0,89.0,56.0,61.0,62.0,48.0,67.0,43.0,60.0,71.0,68.0,60.0,67.0,85.0,66.0,59.0,16.0
Mecklenburg Western Pomerania,3.1625553447185328e-06,9.487666034155598e-06,3.162555344718533e-05,4.111321948134092e-05,4.743833017077799e-05,4.743833017077799e-05,5.3763440860215054e-05,7.273877292852624e-05,8.855154965211892e-05,0.00010752688172043011,0.00014231499051233396,0.00017710309930423784,0.0002308665401644529,0.00025616698292220115,0.0002624920936116382,0.00026881720430107527,0.0002719797596457938,0.0003004427577482606,0.0004048070841239722,0.0004079696394686907,0.00044275774826059455,0.0005123339658444023,0.0005313092979127135,0.0005407969639468691,0.0007621758380771664,0.0008633776091081594,0.0009772296015180266,0.0010025300442757748,0.001555977229601518,0.0032194813409234663,0.009943074003795066,MLT,CYP,LUX,IRL,NOR,SVN,BEL,EST,FIN,DNK,SWE,PRT,CHE,GBR,FRA,BIH,CZE,SVK,LVA,SRB,AUT,HRV,NLD,ESP,GRC,HUN,ITA,LTU,BGR,ROU,POL,0.0,59.0,76.0,63.5,81.0,66.0,78.0,65.0,82.0,83.0,94.0,67.0,76.0,89.0,84.0,48.0,64.0,53.0,56.0,60.0,61.0,60.0,85.0,71.0,68.0,43.0,67.0,62.0,66.0,59.0,16.0
Northrhine-Westphalia,9.910522142938044e-06,4.813682183712765e-05,6.965681277607883e-05,7.078944387812889e-05,0.00012147468569486918,0.00012968626118473213,0.00014072941442972025,0.0001653641408993091,0.00022312832710386226,0.00024578094914486353,0.00030212934647185413,0.00030241250424736663,0.0003737682636765206,0.0005150639936572658,0.0006597576169441613,0.0007257333786385774,0.0010029448408653302,0.0011651942462340015,0.0012068184392343413,0.0012405142145203308,0.0021341601540378298,0.0024985842111224375,0.0030439460867595423,0.003250934420659191,0.0037710952542756825,0.003925416241930003,0.005477120851738589,0.005630592366066372,0.008051025031147355,0.008861705742439687,0.012488956846755012,MLT,CYP,NOR,EST,DNK,FIN,LUX,IRL,SWE,SVN,CHE,CZE,SVK,LVA,LTU,BEL,GBR,FRA,AUT,HUN,PRT,BIH,ESP,HRV,SRB,NLD,BGR,GRC,ITA,ROU,POL,0.0,59.0,81.0,65.0,83.0,82.0,76.0,63.5,94.0,66.0,76.0,64.0,53.0,56.0,62.0,78.0,89.0,84.0,61.0,43.0,67.0,48.0,71.0,60.0,60.0,85.0,66.0,68.0,67.0,59.0,16.0
Rhineland Palatinate,1.3691809808314663e-05,2.4894199651481205e-05,5.476723923325865e-05,7.343788897186955e-05,0.00012073686830968384,0.00012322628827483197,0.00017425939756036843,0.00019168533731640528,0.00021533482698531242,0.00038337067463281056,0.00045680856360468013,0.00047050037341299475,0.0005240229026636793,0.0006497386109036594,0.0007368683096838437,0.0010306198655713218,0.0012969878018421709,0.0016430171769977594,0.001675379636544685,0.0018770226537216828,0.001901916853373164,0.0020575056011949214,0.002172018919591735,0.002418471496141399,0.002534229524520787,0.002769479711227284,0.0039133681852128455,0.006647996016928056,0.007829225790390838,0.011043066965397063,0.011484939009210854,MLT,CYP,NOR,EST,FIN,DNK,SWE,IRL,SVN,CHE,CZE,LVA,SVK,BEL,GBR,LTU,AUT,ESP,NLD,SRB,BIH,FRA,PRT,GRC,HUN,LUX,HRV,BGR,ITA,POL,ROU,0.0,59.0,81.0,65.0,82.0,83.0,94.0,63.5,66.0,76.0,64.0,56.0,53.0,78.0,89.0,62.0,61.0,71.0,85.0,60.0,48.0,84.0,67.0,68.0,43.0,76.0,60.0,66.0,67.0,16.0,59.0
Saarland,5.1652892561983475e-06,4.648760330578512e-05,5.681818181818182e-05,5.681818181818182e-05,8.78099173553719e-05,8.78099173553719e-05,0.00012396694214876033,0.00016528925619834712,0.00020144628099173553,0.00022210743801652892,0.00029958677685950415,0.00032541322314049586,0.00040805785123966944,0.00044421487603305785,0.0006301652892561983,0.0006611570247933885,0.0006818181818181819,0.0009865702479338843,0.0010485537190082644,0.001177685950413223,0.0012551652892561983,0.001518595041322314,0.0015650826446280991,0.001709710743801653,0.0021952479338842976,0.005253099173553719,0.005774793388429752,0.005971074380165289,0.007014462809917355,0.009674586776859504,0.018837809917355373,MLT,CYP,EST,NOR,DNK,FIN,IRL,SWE,SVN,LVA,CZE,CHE,LTU,BEL,GBR,NLD,SVK,PRT,AUT,ESP,SRB,HRV,GRC,BIH,HUN,LUX,BGR,POL,FRA,ROU,ITA,0.0,59.0,65.0,81.0,83.0,82.0,63.5,94.0,66.0,56.0,64.0,76.0,62.0,78.0,89.0,85.0,53.0,67.0,61.0,71.0,60.0,60.0,68.0,48.0,43.0,76.0,66.0,16.0,84.0,59.0,67.0
Sachsen,6.257822277847309e-06,2.1276595744680852e-05,2.5031289111389236e-05,3.379224030037547e-05,4.2553191489361704e-05,5.7571964956195245e-05,6.257822277847309e-05,6.758448060075094e-05,6.88360450563204e-05,9.011264080100126e-05,9.887359198998748e-05,0.00019899874843554442,0.0002365456821026283,0.0002453066332916145,0.0002490613266583229,0.0002765957446808511,0.0003829787234042553,0.0004130162703379224,0.00045807259073842304,0.00047934918648310387,0.0004956195244055069,0.000539424280350438,0.000574468085106383,0.0008435544430538173,0.001051314142678348,0.0011201501877346684,0.0013566958698372966,0.0014893617021276596,0.002041301627033792,0.003499374217772215,0.005516896120150188,MLT,LUX,CYP,NOR,DNK,EST,SWE,FIN,SVN,BEL,IRL,CHE,LTU,BIH,LVA,NLD,GBR,PRT,FRA,AUT,HRV,SRB,ESP,GRC,ITA,SVK,BGR,HUN,CZE,ROU,POL,0.0,76.0,59.0,81.0,83.0,65.0,94.0,82.0,66.0,78.0,63.5,76.0,62.0,48.0,56.0,85.0,89.0,67.0,84.0,61.0,60.0,60.0,71.0,68.0,67.0,53.0,66.0,43.0,64.0,59.0,16.0
