country,iso2,iso3,Eu,df_Abortion_Atlas
Albania,AL,ALB,Albania,Albania
Andorra,AD,AND,Andorra,Andorra
Armenia,AM,ARM,Armenia,Armenia
Austria,AT,AUT,Austria,Austria
Azerbaijan,AZ,AZE,Azerbaijan,Azerbaijan
Belarus,BY,BLR,Belarus,Belarus
Belgium,BE,BEL,Belgium,Belgium
Bosnia And Herzegovina,BA,BIH,Bosn.- Herziv.*,Bosn.- Herziv.*
Bulgaria,BG,BGR,Bulgaria,Bulgaria
Croatia,HR,HRV,Croatia,Croatia
Cyprus,CY,CYP,Cyprus,Cyprus
Czechia,CZ,CZE,Czechia,Czech Republic
Denmark,DK,DNK,Denmark,Denmark
Estonia,EE,EST,Estonia,Estonia
Finland,FI,FIN,Finland,Finland
France,FR,FRA,France,France
Georgia,GE,GEO,Georgia,Georgia
Germany,DE,DEU,Germany,Germany
Gibraltar,GI,GIB,Gibraltar,Gibraltar
Greece,GR,GRC,Greece,Greece
Hungary,HU,HUN,Hungary,Hungary
Iceland,IS,ISL,Iceland,Iceland
Ireland,IE,IRL,Ireland,Ireland
Isle Of Man,IM,IMN,Isle of Man,Isle of Man
Italy,IT,ITA,Italy,Italy
Latvia,LV,LVA,Latvia,Latvia
Liechtenstein,LI,LIE,Liechtenstein,Liechtenstein
Lithuania,LT,LTU,Lithuania,Lithuania
Luxembourg,LU,LUX,Luxembourg,Luxembourg
Malta,MT,MLT,Malta,Malta
Moldova,MD,MDA,Moldova,Moldova
Monaco,MC,MCO,Monaco,Monaco
Montenegro,ME,MNE,Montenegro,Montenegro
Netherlands,NL,NLD,Netherlands,Netherlands
Macedonia,MK,MKD,N. Macedonia,N. Macedonia
Norway,NO,NOR,Norway,Norway
Poland,PL,POL,Poland,Poland
Portugal,PT,PRT,Portugal,Portugal
Romania,RO,ROU,Romania,Romania
Russia,RU,RUS,Russia,Russia
San Marino,SM,SMR,San Marino,San Marino
Serbia,RS,SRB,Serbia,Serbia
Slovakia,SK,SVK,Slovakia,Slovakia
Slovenia,SI,SVN,Slovenia,Slovenia
Spain,ES,ESP,Spain,Spain
Sweden,SE,SWE,Sweden,Sweden
Switzerland,CH,CHE,Switzerland,Switzerland
Turkey,TR,TUR,Turkey,Turkey
Ukraine,UA,UKR,Ukraine,Ukraine
United Kingdom,GB,GBR,United Kingdom,UK (E S & W)
