,ALB,AND,ARM,AUT,AZE,BEL,BGR,BIH,BLR,CHE,CYP,CZE,DEU,DNK,ESP,EST,FIN,FRA,GBR,GEO,GIB,GRC,HRV,HUN,IMN,IRL,ISL,ITA,LIE,LTU,LUX,LVA,MCO,MDA,MKD,MLT,MNE,NLD,NOR,POL,PRT,ROU,RUS,SMR,SRB,SVK,SVN,SWE,TUR,UKR
Berlin,1355.745859,1418.502973,2734.19333,565.2874519,2906.714617,640.9611723,1393.625389,957.7276694,970.2903214,713.2669578,2501.197842,344.0309947,300.4198866,429.169026,1991.330271,1017.822794,1288.084853,1027.393894,929.4921869,2514.235316,2339.014052,1693.381021,852.4729402,729.8394138,1196.018267,1400.029507,2385.504426,1095.844303,654.9888359,747.6176531,590.6243086,884.0851201,1070.466939,1225.207586,1360.213947,1846.229008,1180.372533,1912.834345,1117.787477,406.9351231,2275.160555,1143.779239,3122.569216,956.4326311,1065.763522,584.1622764,710.7800445,784.8700029,2231.646859,1301.798173
Bremen,1565.37547,1290.432981,3047.023623,724.6114386,3220.020765,395.9142921,1665.058457,1171.216454,1259.042299,669.1602578,2776.979586,588.8238703,280.4084326,366.8234477,1820.243593,1203.459182,1400.510946,861.461458,631.4616129,2827.476947,2183.130775,1920.935121,1045.853675,986.5550253,882.897679,1087.201326,2129.732731,1176.007497,658.2097977,1000.893365,412.6173602,1106.274232,1042.695098,1535.256241,1593.769171,1956.462029,1393.720662,1617.933842,1026.392395,706.797959,2062.278709,1435.208403,3356.880568,1050.814191,1311.714234,862.2464412,885.6454585,836.6002028,2525.251402,1612.635716
Dresden,1197.659836,1323.087393,2665.924263,409.9732993,2845.806685,642.7541214,1263.214944,799.5285782,994.1207323,603.1925929,2373.537081,201.6354064,321.4524181,589.8747995,1913.526623,1127.304968,1422.991891,967.8322235,963.8558788,2451.020089,2248.401091,1541.648168,691.3813647,590.1505402,1273.17128,1465.487997,2522.452462,942.1941321,528.7948657,819.3178793,557.1714233,975.7201109,940.9479653,1148.494311,1209.171082,1682.315246,1022.739829,1957.673476,1279.552624,409.6655764,2218.382273,1033.559826,3171.680635,796.8117931,919.0197956,460.8638554,546.9322909,940.8542569,2125.541825,1253.946778
Düsseldorf,1505.375187,1045.238152,3146.250842,672.638914,3328.636521,167.2767366,1675.735778,1128.648379,1443.059953,473.5498098,2780.282735,636.2767912,317.4667884,606.0998544,1576.812958,1441.385289,1646.961308,633.2351367,479.4870201,2933.548059,1935.519939,1873.069238,992.2242336,1002.191896,823.3424195,998.3984482,2195.491725,1030.368804,493.3094975,1212.42959,170.0665868,1332.964094,833.8473887,1628.053484,1557.853964,1807.288567,1342.240296,1519.627737,1239.504887,855.6257851,1824.882832,1484.584259,3562.327207,915.634677,1298.139795,912.8489011,825.9476425,1081.366425,2568.652642,1736.564431
Erfurt,1287.654575,1183.074817,2848.766863,458.2021647,3030.63804,453.2806449,1406.474626,894.8313371,1173.010182,484.3873154,2516.384051,344.7191155,242.5545467,568.8606532,1759.928537,1252.687396,1514.432122,809.2735037,777.6013388,2635.529324,2103.677459,1645.659722,769.6986346,728.1404446,1102.783014,1288.266111,2405.056254,926.9301118,436.9505686,974.5994708,372.5126782,1117.445015,849.0669102,1330.677677,1319.358577,1695.256268,1116.555199,1780.840907,1261.504011,580.2591772,2049.181619,1197.568795,3331.203582,790.3100147,1042.277413,622.6142713,608.4764665,987.9614985,2286.93013,1441.07427
Hamburg,1563.874014,1374.767227,2983.418796,732.1040881,3153.281688,490.0694341,1636.124661,1166.548544,1173.745293,731.995725,2746.84697,563.6947893,286.6835223,296.0150905,1910.220431,1108.883583,1311.606435,946.3791055,720.5745321,2761.99264,2272.672907,1912.86825,1047.283784,962.390675,949.9931859,1159.606899,2146.02712,1212.50576,709.6153699,909.1304328,498.3003823,1011.845843,1106.485552,1477.505758,1582.774393,1989.183514,1390.20413,1706.576158,975.5120286,637.5409131,2156.236436,1393.644814,3269.104931,1083.727672,1294.522892,826.9828308,892.0723559,752.5697537,2481.641832,1544.604333
Hannover,1465.466696,1254.166803,2968.436213,628.2066409,3144.308927,404.4519851,1568.582807,1071.273048,1213.255601,601.0899625,2680.194864,493.786331,238.3033505,423.5040075,1802.430733,1205.24296,1427.981039,840.9314821,682.1708598,2750.736763,2159.575995,1821.229088,946.5415878,889.7650384,963.846026,1161.892039,2229.579092,1088.410773,578.3828713,973.7425233,384.4417109,1093.340119,974.9084044,1453.316886,1493.965047,1865.414765,1293.740466,1669.362992,1103.609703,642.814759,2062.250155,1343.926991,3336.522658,959.4246308,1212.687443,769.4099469,786.478734,875.412489,2434.630007,1540.771163
Kiel,1632.493873,1453.890048,2998.692512,805.6802607,3164.476813,554.442341,1686.535919,1234.236171,1157.940283,817.789334,2795.075788,622.2519162,347.3812908,215.7732678,1981.068311,1051.816396,1238.36101,1017.816851,754.8669575,2775.120432,2346.537137,1977.082741,1118.277529,1018.299765,948.0861046,1163.531595,2091.754434,1295.267442,795.9187041,877.382608,576.0861985,966.6828228,1192.608366,1501.852879,1645.847702,2071.653123,1458.022538,1747.58758,891.8271063,651.9086012,2218.113105,1434.102509,3229.574696,1166.836701,1354.309707,875.4628549,966.0922372,675.59779,2517.882521,1555.834838
Magdeburg,1372.099487,1308.19763,2836.444903,550.9406985,3012.319677,515.4804508,1450.763379,974.6967004,1094.612291,617.2415768,2561.851233,377.4515497,240.6407002,444.4405343,1874.777162,1130.318867,1382.635199,912.7002576,810.341897,2618.696546,2225.005154,1721.352258,857.4747993,775.10459,1095.19158,1293.710999,2336.217589,1049.325734,571.7645001,871.3264386,466.8055455,1003.62051,983.9306824,1321.809234,1390.914682,1814.991293,1198.269535,1797.232273,1139.642199,518.7108064,2152.434928,1218.311873,3239.622816,913.2312855,1103.731495,646.2444636,703.7215449,853.9973931,2309.308717,1410.110494
Mainz,1335.181327,977.40517,3024.362728,513.787572,3211.615358,270.4087293,1521.533197,962.7965892,1394.172063,328.8186963,2620.571433,519.992862,288.1669183,699.5627279,1545.433541,1463.602447,1704.860057,608.3168154,613.0584102,2816.03876,1891.405251,1704.400372,825.9075945,856.3569891,983.3351426,1146.489182,2368.161562,866.4735605,327.6236975,1196.172742,155.8361781,1335.357363,698.7340423,1509.90002,1391.504619,1641.555827,1173.681999,1669.311487,1366.495048,794.329055,1827.019024,1346.817161,3542.467588,745.2004644,1138.588299,784.5634038,659.1321957,1156.232334,2423.743238,1637.536023
Munich,1018.722454,1000.467822,2761.771108,241.1916125,2956.015365,576.3939311,1217.249591,646.8417771,1283.988438,287.9376528,2307.947835,355.8415997,423.4000637,883.4321449,1611.834327,1481.571049,1780.760804,735.4927654,917.4102986,2561.130077,1923.620418,1388.410206,512.9640086,574.082345,1299.266479,1455.071913,2677.925561,625.0118262,187.3848347,1155.672667,436.0243067,1322.420311,585.1163142,1265.082342,1074.739451,1377.765504,856.4662094,1965.133497,1576.522658,701.7551372,1943.182109,1070.006252,3457.728462,472.2956023,828.9859377,544.2348471,344.5907553,1283.858924,2129.77597,1426.90788
Potsdam,1352.914485,1394.404182,2750.917036,555.6154331,2924.327187,616.8886771,1399.432403,954.6439371,993.8566202,690.671939,2508.097487,342.2812511,284.3481201,434.4057997,1966.770526,1041.85238,1309.525238,1003.478003,907.766254,2531.517997,2314.571474,1693.114181,846.8789721,732.3728065,1179.02808,1381.766697,2380.204006,1081.229104,633.9985984,772.5150716,565.6103752,908.8705678,1049.35927,1240.238663,1360.319592,1834.561694,1177.717247,1891.81187,1125.902444,426.3231317,2250.196343,1153.402347,3145.846551,942.1020117,1067.141937,590.1264851,702.5687932,801.4711604,2242.402412,1320.027249
