Population with migrant background,Population with migrant background,Population with migrant background,Population with migrant background,Population with migrant background,Population with migrant background,Population with migrant background,Population with migrant background,Population with migrant background,Population with migrant background,Population with migrant background,Population with migrant background,Population with migrant background,Country,Country,Country,Country,Country,Country,Country,Country,Country,Country,Country,Country,Country,Country_Score,Country_Score,Country_Score,Country_Score,Country_Score,Country_Score,Country_Score,Country_Score,Country_Score,Country_Score,Country_Score,Country_Score,Country_Score
1,2,3,4,5,6,7,8,9,10,11,12,13,1,2,3,4,5,6,7,8,9,10,11,12,13,1,2,3,4,5,6,7,8,9,10,11,12,13
0.0018221574344023323,0.0030065597667638484,0.003370991253644315,0.0036443148688046646,0.003826530612244898,0.0052842565597667635,0.0059220116618075806,0.007197521865889213,0.009657434402332361,0.01157069970845481,0.02077259475218659,0.023870262390670555,0.02587463556851312,NLD,PRT,BGR,CZE,ESP,FRA,AUT,HUN,GRC,HRV,POL,ITA,ROU,85.0,67.0,66.0,64.0,71.0,84.0,61.0,43.0,68.0,60.0,16.0,67.0,59.0
0.0015479876160990713,0.0025541795665634673,0.0030959752321981426,0.003173374613003096,0.005340557275541796,0.0058823529411764705,0.006501547987616099,0.00890092879256966,0.011996904024767802,0.013777089783281734,0.01671826625386997,0.02213622291021672,,NLD,BGR,ESP,FRA,CZE,GRC,HUN,HRV,ITA,AUT,POL,ROU,PRT,85.0,66.0,71.0,84.0,64.0,68.0,43.0,60.0,67.0,61.0,16.0,59.0,67.0
0.004142502071251036,0.004418668876001105,0.004418668876001105,0.005523336095001381,0.006075669704501519,0.006904170118751726,0.007180336923501795,0.011875172604252969,0.030654515327257662,,,,,HRV,GRC,ROU,ESP,BGR,AUT,FRA,ITA,POL,NLD,PRT,CZE,HUN,60.0,68.0,59.0,71.0,66.0,61.0,84.0,67.0,16.0,85.0,67.0,64.0,43.0
0.01778496362166532,,,,,,,,,,,,,POL,BGR,FRA,GRC,ITA,HRV,NLD,AUT,PRT,ROU,ESP,CZE,HUN,16.0,66.0,84.0,68.0,67.0,60.0,85.0,61.0,67.0,59.0,71.0,64.0,43.0
0.013353115727002967,0.03560830860534125,,,,,,,,,,,,BGR,POL,FRA,GRC,ITA,HRV,NLD,AUT,PRT,ROU,ESP,CZE,HUN,66.0,16.0,84.0,68.0,67.0,60.0,85.0,61.0,67.0,59.0,71.0,64.0,43.0
0.007111597374179431,0.036105032822757115,,,,,,,,,,,,ITA,POL,BGR,FRA,GRC,HRV,NLD,AUT,PRT,ROU,ESP,CZE,HUN,67.0,16.0,66.0,84.0,68.0,60.0,85.0,61.0,67.0,59.0,71.0,64.0,43.0
0.002257700370907918,0.00306402193194646,0.003709079180777294,0.004031607805192711,0.004676665054023544,0.004999193678438961,0.00516045799064667,0.006289308176100629,0.006450572488308337,0.0077406869859700045,0.012578616352201259,0.01628769553297855,0.0287050475729721,NLD,FRA,HUN,PRT,AUT,CZE,ESP,GRC,BGR,HRV,ROU,ITA,POL,85.0,84.0,43.0,67.0,61.0,64.0,71.0,68.0,66.0,60.0,59.0,67.0,16.0
0.0012727504136438843,0.0016545755377370497,0.0017818505791014382,0.0024182257859233806,0.0025455008272877687,0.003436426116838488,0.0035637011582028764,0.005472826778668703,0.006491027109583811,0.00738195239913453,0.028255059182894234,,,FRA,HUN,HRV,BGR,AUT,ESP,GRC,ITA,ROU,NLD,POL,PRT,CZE,84.0,43.0,60.0,66.0,61.0,71.0,68.0,67.0,59.0,85.0,16.0,67.0,64.0
0.017077798861480076,,,,,,,,,,,,,POL,BGR,FRA,GRC,ITA,HRV,NLD,AUT,PRT,ROU,ESP,CZE,HUN,16.0,66.0,84.0,68.0,67.0,60.0,85.0,61.0,67.0,59.0,71.0,64.0,43.0
